Timestamp,IP_Address,Request_Type,Status_Code,Anomaly_Flag,User_Agent,Session_ID,Location
2023-01-01 00:00:00,202.118.116.11,GET,403,0,Edge,4835,Brazil
2023-01-01 00:01:00,38.30.40.178,DELETE,301,0,Bot,3176,China
2023-01-01 00:02:00,209.5.148.15,POST,500,0,Opera,4312,China
2023-01-01 00:03:00,211.116.60.71,GET,301,0,Bot,1003,France
2023-01-01 00:04:00,170.166.36.145,POST,404,0,Firefox,1428,Germany
2023-01-01 00:05:00,147.178.175.124,DELETE,404,0,Firefox,2954,Brazil
2023-01-01 00:06:00,185.82.155.197,PUT,403,0,Firefox,2312,India
2023-01-01 16:31:00,170.43.30.236,GET,301,0,Edge,2547,Canada
2023-01-01 16:32:00,58.90.188.159,POST,404,1,Safari,3317,Germany
2023-01-01 16:33:00,15.36.91.204,PUT,404,0,Bot,4431,Canada
2023-01-01 16:34:00,49.208.238.142,DELETE,301,0,Opera,4599,France
2023-01-01 16:35:00,131.4.111.131,DELETE,301,0,Bot,1432,China
2023-01-01 16:36:00,130.199.38.131,PUT,404,0,Edge,3275,Canada
2023-01-01 16:37:00,170.26.180.6,DELETE,301,0,Firefox,2402,France
2023-01-01 16:38:00,7.212.169.2,POST,301,0,Firefox,4456,India
2023-01-01 16:39:00,191.155.159.116,GET,200,0,Safari,4316,Brazil
2023-01-01 16:40:00,173.172.14.16,PUT,200,0,Edge,4634,USA
2023-01-01 16:41:00,151.113.69.213,DELETE,404,0,Opera,4037,Germany
2023-01-01 16:42:00,100.119.241.123,POST,404,0,Safari,2498,Germany
2023-01-01 16:43:00,109.55.94.70,GET,403,0,Safari,2755,France
2023-01-01 16:44:00,203.92.254.14,DELETE,200,0,Opera,2332,China
2023-01-01 16:45:00,128.172.5.52,GET,403,1,Chrome,2990,China
2023-01-01 16:46:00,137.195.231.114,GET,301,0,Firefox,4377,China
2023-01-01 16:47:00,216.130.4.151,POST,200,0,Edge,3717,India
2023-01-01 16:48:00,77.74.19.179,PUT,404,0,Chrome,1930,USA
2023-01-01 16:49:00,74.138.101.34,DELETE,301,0,Bot,3218,Germany
2023-01-01 16:50:00,244.93.2.203,GET,301,0,Opera,4282,France
2023-01-01 16:51:00,110.58.40.214,POST,500,0,Bot,2065,Germany
2023-01-01 16:52:00,165.68.76.239,PUT,301,0,Opera,3336,USA
2023-01-01 16:53:00,190.10.199.168,PUT,500,0,Bot,4014,USA
2023-01-01 16:54:00,136.40.47.205,DELETE,500,0,Firefox,2584,Germany
2023-01-01 16:55:00,34.60.211.215,DELETE,500,0,Safari,3049,Canada
2023-01-01 16:56:00,136.39.140.80,POST,404,0,Opera,2284,Canada
2023-01-01 16:57:00,58.170.152.65,DELETE,404,0,Safari,1999,USA
2023-01-01 16:58:00,77.9.227.141,GET,301,0,Opera,4280,India
2023-01-01 16:59:00,18.63.103.114,GET,200,0,Chrome,1242,USA
2023-01-01 17:00:00,119.59.220.194,PUT,404,0,Chrome,3345,France
2023-01-01 17:01:00,188.133.239.215,DELETE,200,0,Edge,1317,USA
2023-01-01 17:02:00,191.238.89.249,GET,500,0,Firefox,4821,France
2023-01-01 17:03:00,157.4.211.111,POST,500,0,Bot,1514,India
2023-01-01 17:04:00,138.72.163.183,DELETE,403,0,Bot,1315,USA
2023-01-01 17:05:00,176.88.155.147,DELETE,404,0,Edge,4372,Germany
2023-01-01 17:06:00,158.68.57.127,POST,500,0,Edge,2447,USA
2023-01-01 17:07:00,111.125.64.127,DELETE,301,0,Firefox,3166,Canada
2023-01-01 17:08:00,181.41.71.107,POST,404,0,Safari,4188,Brazil
2023-01-01 17:09:00,64.18.166.194,POST,404,0,Firefox,1120,China
2023-01-01 17:10:00,108.236.189.3,DELETE,500,0,Chrome,2203,Brazil
2023-01-01 17:11:00,4.188.27.119,DELETE,301,0,Edge,4277,France
2023-01-01 17:12:00,162.22.194.246,DELETE,500,0,Opera,3088,Brazil
2023-01-01 17:13:00,156.166.167.169,PUT,500,1,Opera,1345,India
2023-01-01 17:14:00,220.223.82.182,PUT,500,0,Bot,3986,China
2023-01-01 17:15:00,7.75.182.194,DELETE,403,0,Bot,4211,USA
2023-01-01 17:16:00,41.183.162.79,POST,301,0,Firefox,1351,China
2023-01-01 17:17:00,217.187.81.216,DELETE,403,1,Bot,1557,Brazil
2023-01-01 17:18:00,226.180.168.205,PUT,200,0,Safari,4016,Brazil
2023-01-01 17:19:00,99.210.3.211,PUT,500,0,Bot,2892,Brazil
2023-01-01 17:20:00,47.68.59.185,DELETE,404,0,Safari,1689,USA
2023-01-01 17:21:00,154.223.142.42,PUT,301,0,Edge,1458,Germany
2023-01-01 17:22:00,62.246.39.68,POST,403,0,Chrome,1555,China
2023-01-01 17:23:00,24.21.15.97,DELETE,403,0,Opera,2057,India
2023-01-01 17:24:00,100.100.226.71,PUT,403,0,Opera,4041,Canada
2023-01-01 17:25:00,154.88.56.73,DELETE,403,0,Chrome,1359,Brazil
2023-01-01 17:26:00,67.74.112.242,POST,403,0,Edge,4099,France
2023-01-01 17:27:00,25.159.0.207,PUT,404,0,Edge,2661,Canada
2023-01-01 17:28:00,163.175.185.203,POST,301,0,Bot,1020,Germany
2023-01-01 17:29:00,84.90.114.158,GET,403,0,Bot,3873,France
2023-01-01 17:30:00,63.176.144.107,POST,404,0,Firefox,2679,Brazil
2023-01-01 17:31:00,31.241.88.250,GET,200,1,Edge,4558,Germany
2023-01-01 17:32:00,164.187.247.34,DELETE,404,0,Firefox,4462,Brazil
2023-01-01 17:33:00,50.179.81.61,POST,404,0,Firefox,4217,Germany
2023-01-01 17:34:00,193.170.99.224,DELETE,403,0,Opera,4361,Brazil
2023-01-01 17:35:00,62.175.125.162,DELETE,403,0,Firefox,1473,Canada
2023-01-01 17:36:00,188.37.187.138,DELETE,200,0,Firefox,1700,China
2023-01-01 17:37:00,176.251.115.170,POST,200,0,Chrome,1032,Germany
2023-01-01 17:38:00,167.130.174.66,PUT,500,0,Bot,4361,Germany
2023-01-01 17:39:00,207.91.99.25,DELETE,404,0,Opera,4399,Brazil
2023-01-01 17:40:00,205.15.114.48,DELETE,403,0,Edge,1439,USA
2023-01-01 17:41:00,2.27.78.239,DELETE,301,0,Opera,2440,Canada
2023-01-01 17:42:00,187.206.27.139,POST,500,0,Edge,3277,India
2023-01-01 17:43:00,176.91.179.32,POST,200,0,Edge,4179,France
2023-01-01 17:44:00,52.52.168.55,PUT,301,0,Chrome,2908,France
2023-01-01 17:45:00,245.80.163.37,GET,403,1,Edge,3447,France
2023-01-01 17:46:00,121.37.255.42,DELETE,403,0,Safari,3845,France
2023-01-01 17:47:00,224.227.114.61,DELETE,404,0,Opera,1485,Brazil
2023-01-01 17:48:00,105.24.67.13,PUT,200,0,Firefox,4750,India
2023-01-01 17:49:00,56.26.130.74,PUT,403,0,Safari,3636,Brazil
2023-01-01 17:50:00,10.190.177.64,PUT,404,0,Edge,2034,USA
2023-01-01 17:51:00,183.131.20.198,GET,403,0,Safari,3689,Brazil
2023-01-01 17:52:00,134.78.225.163,DELETE,200,0,Chrome,3262,Canada
2023-01-01 17:53:00,100.71.246.77,PUT,200,0,Firefox,4685,USA
2023-01-01 17:54:00,56.75.212.193,DELETE,301,0,Edge,4293,India
2023-01-01 17:55:00,36.93.202.65,GET,500,0,Bot,4287,France
2023-01-01 17:56:00,132.133.63.133,PUT,301,0,Bot,1951,USA
2023-01-01 17:57:00,118.69.16.93,GET,200,0,Opera,4888,France
2023-01-01 17:58:00,103.240.137.148,GET,404,0,Opera,2654,Brazil
2023-01-01 17:59:00,37.227.125.217,POST,403,0,Opera,4613,Germany
2023-01-01 18:00:00,135.24.10.172,DELETE,500,1,Bot,2736,Brazil
2023-01-01 18:01:00,122.33.84.144,DELETE,404,0,Opera,3692,USA
2023-01-01 18:02:00,198.49.245.45,GET,403,0,Firefox,3146,Canada
2023-01-01 18:03:00,91.92.237.24,DELETE,500,0,Edge,2228,China
2023-01-01 18:04:00,210.64.170.143,DELETE,403,0,Edge,1162,Brazil
2023-01-01 18:05:00,151.207.149.22,POST,403,0,Edge,4592,China
2023-01-01 18:06:00,230.12.222.203,POST,200,0,Firefox,3706,Germany
2023-01-01 18:07:00,23.145.28.149,PUT,500,0,Chrome,1698,USA
2023-01-01 18:08:00,92.119.27.139,DELETE,301,0,Opera,4734,Brazil
2023-01-01 18:09:00,75.67.143.183,PUT,200,0,Safari,4471,Canada
2023-01-01 18:10:00,225.135.51.200,PUT,301,1,Firefox,1429,USA
2023-01-01 18:11:00,247.227.248.197,GET,200,0,Opera,3071,China
2023-01-01 18:12:00,120.194.73.89,GET,301,0,Safari,4544,Germany
2023-01-01 18:13:00,179.56.153.100,DELETE,301,0,Chrome,1992,USA
2023-01-01 18:14:00,176.2.18.43,GET,403,0,Safari,4839,Brazil
2023-01-01 18:15:00,84.229.70.104,PUT,500,0,Edge,4612,India
2023-01-01 18:16:00,178.181.136.169,DELETE,403,0,Safari,3607,USA
2023-01-01 18:17:00,69.226.71.92,POST,200,0,Edge,2309,USA
2023-01-01 18:18:00,128.191.113.81,POST,404,0,Safari,3510,USA
2023-01-01 18:19:00,174.35.194.126,DELETE,403,0,Edge,1359,Brazil
2023-01-01 18:20:00,28.191.246.90,DELETE,200,0,Firefox,2546,France
2023-01-01 18:21:00,2.216.94.110,DELETE,403,0,Opera,1021,USA
2023-01-01 18:22:00,236.156.120.239,POST,403,0,Firefox,1438,Canada
2023-01-01 18:23:00,38.113.235.68,GET,403,0,Edge,2003,Germany
2023-01-01 18:24:00,236.151.36.3,GET,404,0,Bot,2461,India
2023-01-01 18:25:00,165.223.215.166,POST,403,0,Safari,2017,India
2023-01-01 18:26:00,213.78.240.43,DELETE,200,0,Bot,4854,Germany
2023-01-01 18:27:00,111.53.132.70,GET,404,0,Bot,2046,USA
2023-01-01 18:28:00,54.248.75.170,GET,200,0,Edge,3715,Canada
2023-01-01 18:29:00,54.123.160.63,POST,500,0,Chrome,1320,France
2023-01-01 18:30:00,161.153.137.41,DELETE,404,0,Opera,2608,Canada
2023-01-01 18:31:00,18.173.54.77,PUT,403,1,Safari,1891,USA
2023-01-01 18:32:00,62.112.61.68,POST,403,0,Chrome,2897,France
2023-01-01 18:33:00,187.255.172.131,DELETE,301,0,Chrome,4367,China
2023-01-01 18:34:00,36.202.189.102,GET,403,0,Opera,1148,China
2023-01-01 18:35:00,64.191.35.8,PUT,500,0,Bot,3310,Germany
2023-01-01 18:36:00,230.212.179.125,PUT,500,0,Firefox,2408,China
2023-01-01 18:37:00,145.246.153.205,POST,301,0,Firefox,4226,China
2023-01-01 18:38:00,180.225.152.194,POST,200,0,Safari,4386,USA
2023-01-01 18:39:00,221.218.157.78,GET,403,0,Bot,4480,Brazil
2023-01-01 18:40:00,48.107.136.207,PUT,403,0,Safari,1389,Germany
2023-01-01 18:41:00,158.144.244.40,DELETE,403,0,Chrome,4523,Canada
2023-01-01 18:42:00,184.57.218.251,POST,301,0,Bot,4376,Germany
2023-01-01 18:43:00,43.15.42.226,DELETE,500,0,Edge,3622,France
2023-01-01 18:44:00,103.97.65.168,POST,200,0,Firefox,4025,Brazil
2023-01-01 18:45:00,175.80.128.250,POST,500,0,Edge,2090,China
2023-01-01 18:46:00,130.235.149.95,POST,403,0,Chrome,1274,Germany
2023-01-01 18:47:00,210.170.61.98,DELETE,500,0,Bot,4090,China
2023-01-01 18:48:00,91.47.125.159,GET,200,0,Chrome,3243,India
2023-01-01 18:49:00,248.203.30.73,POST,301,0,Safari,1097,India
2023-01-01 18:50:00,97.2.182.41,POST,403,0,Bot,4216,France
2023-01-01 18:51:00,12.123.46.56,DELETE,500,0,Edge,1765,France
2023-01-01 18:52:00,80.61.205.38,PUT,404,0,Edge,2898,China
2023-01-01 18:53:00,5.209.55.132,GET,200,0,Edge,4851,Germany
2023-01-01 18:54:00,241.124.215.241,GET,500,0,Bot,1256,Canada
2023-01-01 18:55:00,11.16.72.240,DELETE,301,0,Firefox,1698,USA
2023-01-01 18:56:00,117.81.9.110,DELETE,301,0,Firefox,3778,China
2023-01-01 18:57:00,14.71.234.3,GET,301,0,Firefox,2016,Germany
2023-01-01 18:58:00,109.176.161.68,GET,500,0,Bot,4506,France
2023-01-01 18:59:00,127.50.107.192,GET,301,0,Bot,1996,India
2023-01-01 19:00:00,52.59.153.248,POST,404,0,Bot,1322,Germany
2023-01-01 19:01:00,172.245.119.63,DELETE,500,0,Firefox,3237,USA
2023-01-01 19:02:00,93.228.29.55,PUT,200,0,Opera,4031,Brazil
2023-01-01 19:03:00,220.197.96.213,DELETE,500,0,Bot,4450,Germany
2023-01-01 19:04:00,77.241.224.147,PUT,200,0,Bot,1537,France
2023-01-01 19:05:00,136.54.120.170,POST,404,0,Opera,1091,India
2023-01-01 19:06:00,102.176.39.253,POST,403,0,Safari,4398,Germany
2023-01-01 19:07:00,24.195.67.53,GET,404,0,Opera,2666,India
2023-01-01 19:08:00,47.187.123.164,GET,500,0,Opera,2035,India
2023-01-01 19:09:00,218.90.190.57,GET,404,0,Bot,4996,India
2023-01-01 19:10:00,181.97.206.115,POST,500,0,Safari,4402,USA
2023-01-01 19:11:00,187.221.86.7,POST,301,0,Chrome,3333,France
2023-01-01 19:12:00,233.83.31.247,PUT,403,0,Safari,3568,France
2023-01-01 19:13:00,220.97.123.105,GET,200,0,Opera,3363,Brazil
2023-01-01 19:14:00,192.38.95.58,GET,200,0,Edge,2793,Canada
2023-01-01 19:15:00,235.198.107.140,POST,500,0,Chrome,3052,Germany
2023-01-01 19:16:00,53.66.7.235,DELETE,403,0,Firefox,4022,Canada
2023-01-01 19:17:00,35.187.207.0,DELETE,500,0,Firefox,4631,Germany
2023-01-01 19:18:00,222.172.90.221,GET,200,0,Edge,1236,USA
2023-01-01 19:19:00,237.167.156.232,PUT,200,0,Chrome,3560,India
2023-01-01 19:20:00,163.143.62.158,PUT,500,0,Chrome,3914,China
2023-01-01 19:21:00,16.73.144.161,DELETE,404,0,Chrome,4806,Brazil
2023-01-01 19:22:00,197.119.163.129,DELETE,403,0,Chrome,3749,Brazil
2023-01-01 19:23:00,96.113.208.110,POST,403,0,Edge,4187,USA
2023-01-01 19:24:00,146.199.193.25,PUT,200,0,Bot,2808,USA
2023-01-01 19:25:00,38.141.161.53,GET,500,1,Bot,4031,USA
2023-01-01 19:26:00,58.152.175.13,GET,500,0,Chrome,3977,India
2023-01-01 19:27:00,228.26.60.91,POST,200,1,Chrome,4241,Germany
2023-01-01 19:28:00,172.116.115.24,POST,404,0,Firefox,2766,Brazil
2023-01-01 19:29:00,62.20.28.254,PUT,404,0,Opera,1596,China
2023-01-01 19:30:00,42.200.195.102,POST,301,0,Edge,4029,USA
2023-01-01 19:31:00,150.88.24.108,POST,200,0,Safari,4637,Germany
2023-01-01 19:32:00,110.79.51.96,DELETE,500,0,Opera,4253,France